Date,TFF1LLFS INDEX
6/15/2010,196656
6/22/2010,182244
6/29/2010,184364
7/6/2010,203822
7/13/2010,218281
7/20/2010,207667
7/27/2010,198835
8/3/2010,194231
8/10/2010,193916
8/17/2010,196286
8/24/2010,212103
8/31/2010,223099
9/7/2010,212630
9/14/2010,216454
9/21/2010,147903
9/28/2010,144598
10/5/2010,146359
10/12/2010,147296
10/19/2010,152056
10/26/2010,139094
11/2/2010,137142
11/9/2010,148355
11/16/2010,158553
11/23/2010,162243
11/30/2010,151491
12/7/2010,159509
12/14/2010,154350
12/21/2010,137552
12/28/2010,141342
1/4/2011,140764
1/11/2011,145968
1/18/2011,157129
1/25/2011,163207
2/1/2011,168582
2/8/2011,187038
2/15/2011,194947
2/22/2011,194518
3/1/2011,201206
3/8/2011,198022
3/15/2011,214699
3/22/2011,176687
3/29/2011,190574
4/5/2011,190849
4/12/2011,194363
4/19/2011,187716
4/26/2011,172189
5/3/2011,170013
5/10/2011,171171
5/17/2011,172284
5/24/2011,176847
5/31/2011,184285
6/7/2011,194831
6/14/2011,189310
6/21/2011,165447
6/28/2011,162756
7/5/2011,156078
7/12/2011,154758
7/19/2011,153187
7/26/2011,158374
8/2/2011,166673
8/9/2011,195677
8/16/2011,216336
8/23/2011,229378
8/30/2011,245970
9/6/2011,245081
9/13/2011,248472
9/20/2011,197372
9/27/2011,170647
10/4/2011,178137
10/11/2011,174697
10/18/2011,178416
10/25/2011,174607
11/1/2011,165262
11/8/2011,168790
11/15/2011,163809
11/22/2011,173413
11/29/2011,175309
12/6/2011,156434
12/13/2011,163845
12/20/2011,134407
12/27/2011,135407
1/3/2012,128283
1/10/2012,141474
1/17/2012,146268
1/24/2012,144618
1/31/2012,153691
2/7/2012,153758
2/14/2012,167259
2/21/2012,172710
2/28/2012,176377
3/6/2012,188615
3/13/2012,189418
3/20/2012,177398
3/27/2012,181354
4/3/2012,174273
4/10/2012,180624
4/17/2012,178866
4/24/2012,174887
5/1/2012,177123
5/8/2012,191008
5/15/2012,189673
5/22/2012,198249
5/29/2012,203574
6/5/2012,202297
6/12/2012,213327
6/19/2012,180663
6/26/2012,185575
7/3/2012,176558
7/10/2012,194078
7/17/2012,194064
7/24/2012,195478
7/31/2012,190087
8/7/2012,193191
8/14/2012,213695
8/21/2012,219374
8/28/2012,225754
9/4/2012,230663
9/11/2012,229323
9/18/2012,218300
9/25/2012,172439
10/2/2012,186699
10/9/2012,185393
10/16/2012,177270
10/23/2012,183579
10/30/2012,180471
11/6/2012,178964
11/13/2012,181209
11/20/2012,185219
11/27/2012,188937
12/4/2012,178799
12/11/2012,166956
12/18/2012,166990
12/25/2012,154929
1/1/2013,153700
1/8/2013,165725
1/15/2013,176557
1/22/2013,189091
1/29/2013,190385
2/5/2013,185313
2/12/2013,190193
2/19/2013,199301
2/26/2013,196726
3/5/2013,198974
3/12/2013,206121
3/19/2013,174319
3/26/2013,184654
4/2/2013,190654
4/9/2013,181527
4/16/2013,185851
4/23/2013,179058
4/30/2013,182912
5/7/2013,195931
5/14/2013,207612
5/21/2013,205936
5/28/2013,211033
6/4/2013,202052
6/11/2013,195097
6/18/2013,198548
6/25/2013,143027
7/2/2013,149599
7/9/2013,155687
7/16/2013,165397
7/23/2013,174063
7/30/2013,173357
8/6/2013,171702
8/13/2013,175715
8/20/2013,165099
8/27/2013,168434
9/3/2013,176686
9/10/2013,182138
9/17/2013,177690
9/24/2013,146695
10/1/2013,143393
10/8/2013,146020
10/15/2013,146007
10/22/2013,147913
10/29/2013,150252
11/5/2013,155475
11/12/2013,157592
11/19/2013,155321
11/26/2013,156000
12/3/2013,156502
12/10/2013,156562
12/17/2013,142327
12/24/2013,157302
12/31/2013,161711
1/7/2014,157188
1/14/2014,167540
1/21/2014,172204
1/28/2014,175695
2/4/2014,183180
2/11/2014,196650
2/18/2014,199631
2/25/2014,191726
3/4/2014,201389
3/11/2014,202750
3/18/2014,205758
3/25/2014,180300
4/1/2014,170812
4/8/2014,164129
4/15/2014,171139
4/22/2014,170962
4/29/2014,165198
5/6/2014,175210
5/13/2014,181172
5/20/2014,186096
5/27/2014,186592
6/3/2014,193478
6/10/2014,199872
6/17/2014,212937
6/24/2014,207264
7/1/2014,203319
7/8/2014,203177
7/15/2014,196878
7/22/2014,192032
7/29/2014,195868
8/5/2014,197330
8/12/2014,201227
8/19/2014,200641
8/26/2014,193424
9/2/2014,197393
9/9/2014,201461
9/16/2014,209560
9/23/2014,184644
9/30/2014,186066
10/7/2014,187290
10/14/2014,183212
10/21/2014,201568
10/28/2014,195956
11/4/2014,170829
11/11/2014,170183
11/18/2014,170670
11/25/2014,171618
12/2/2014,173582
12/9/2014,160235
12/16/2014,149682
12/23/2014,140356
12/30/2014,142369
1/6/2015,133461
1/13/2015,137613
1/20/2015,134503
1/27/2015,132096
2/3/2015,145844
2/10/2015,151267
2/17/2015,149862
2/24/2015,153241
3/3/2015,161132
3/10/2015,183050
3/17/2015,167115
3/24/2015,152521
3/31/2015,158629
4/7/2015,153825
4/14/2015,151064
4/21/2015,145347
4/28/2015,145453
5/5/2015,154258
5/12/2015,145331
5/19/2015,139428
5/26/2015,150257
6/2/2015,150266
6/9/2015,162674
6/16/2015,162960
6/23/2015,164459
6/30/2015,169437
7/7/2015,167855
7/14/2015,158549
7/21/2015,161057
7/28/2015,159199
8/4/2015,160107
8/11/2015,166354
8/18/2015,165115
8/25/2015,151991
9/1/2015,169043
9/8/2015,175720
9/15/2015,177016
9/22/2015,176375
9/29/2015,181065
10/6/2015,190476
10/13/2015,192998
10/20/2015,183184
10/27/2015,168513
11/3/2015,166740
11/10/2015,175292
11/17/2015,166045
11/24/2015,147687
12/1/2015,144596
12/8/2015,139008
12/15/2015,123851
12/22/2015,126241
12/29/2015,126209
1/5/2016,125499
1/12/2016,119267
1/19/2016,142642
1/26/2016,143956
2/2/2016,151413
2/9/2016,139568
2/16/2016,146777
2/23/2016,141995
3/1/2016,140031
3/8/2016,150837
3/15/2016,144399
3/22/2016,142223
3/29/2016,144882
4/5/2016,146345
4/12/2016,140580
4/19/2016,144044
4/26/2016,134827
5/3/2016,132020
5/10/2016,138988
5/17/2016,143851
5/24/2016,161735
5/31/2016,164161
6/7/2016,181293
6/14/2016,160973
6/21/2016,144717
6/28/2016,155860
7/5/2016,164030
7/12/2016,153079
7/19/2016,146816
7/26/2016,149062
8/2/2016,151205
8/9/2016,148098
8/16/2016,142910
8/23/2016,150677
8/30/2016,142741
9/6/2016,148650
9/13/2016,141017
9/20/2016,145162
9/27/2016,152154
10/4/2016,157105
10/11/2016,158295
10/18/2016,143365
10/25/2016,152444
11/1/2016,136125
11/8/2016,121134
11/15/2016,126924
11/22/2016,130993
11/29/2016,139926
12/6/2016,129220
12/13/2016,137589
12/20/2016,115875
12/27/2016,112803
1/3/2017,106202
1/10/2017,120400
1/17/2017,128768
1/24/2017,133301
1/31/2017,128575
2/7/2017,131054
2/14/2017,125916
2/21/2017,121351
2/28/2017,128503
3/7/2017,120935
3/14/2017,129193
3/21/2017,128073
3/28/2017,125222
4/4/2017,119173
4/11/2017,120927
4/18/2017,124394
4/25/2017,128798
5/2/2017,124678
5/9/2017,126493
5/16/2017,131181
5/23/2017,134594
5/30/2017,137075
6/6/2017,138007
6/13/2017,132180
6/20/2017,118394
6/27/2017,116685
7/4/2017,98432
7/11/2017,98146
7/18/2017,108625
7/25/2017,113585
8/1/2017,127341
8/8/2017,130679
8/15/2017,118690
8/22/2017,116829
8/29/2017,116656
9/5/2017,115559
9/12/2017,122627
9/19/2017,130332
9/26/2017,130992
10/3/2017,119914
10/10/2017,120208
10/17/2017,117896
10/24/2017,118544
10/31/2017,113829
11/7/2017,127753
11/14/2017,125688
11/21/2017,125230
11/28/2017,128337
12/5/2017,128540
12/12/2017,124302
12/19/2017,114159
12/26/2017,116550
1/2/2018,103396
1/9/2018,125435
1/16/2018,124619
1/23/2018,121770
1/30/2018,105870
2/6/2018,98733
2/13/2018,99067
2/20/2018,108621
2/27/2018,105300
3/6/2018,99052
3/13/2018,108207
3/20/2018,88532
3/27/2018,80879
4/3/2018,83782
4/10/2018,85244
4/17/2018,86419
4/24/2018,81015
5/1/2018,65861
5/8/2018,72049
5/15/2018,74097
5/22/2018,76146
5/29/2018,84834
6/5/2018,77076
6/12/2018,81649
6/19/2018,82099
6/26/2018,85934
7/3/2018,79632
7/10/2018,85665
7/17/2018,92386
7/24/2018,94628
7/31/2018,83216
8/7/2018,92792
8/14/2018,90811
8/21/2018,98345
8/28/2018,98897
9/4/2018,99386
9/11/2018,97582
9/18/2018,88798
9/25/2018,87414
10/2/2018,83248
10/9/2018,77897
10/16/2018,63365
10/23/2018,78149
10/30/2018,76831
11/6/2018,76356
11/13/2018,79878
11/20/2018,69015
11/27/2018,71188
12/4/2018,77112
12/11/2018,68764
12/18/2018,63132
12/25/2018,56840
1/1/2019,55615
1/8/2019,54769
1/15/2019,63257
1/22/2019,67577
1/29/2019,64680
2/5/2019,74699
2/12/2019,66769
2/19/2019,69719
2/26/2019,75377
3/5/2019,77462
3/12/2019,70626
3/19/2019,77158
3/26/2019,69708
4/2/2019,76874
4/9/2019,77523
4/16/2019,80545
4/23/2019,75699
4/30/2019,67011
5/7/2019,65288
5/14/2019,74155
5/21/2019,75025
5/28/2019,74346
6/4/2019,74944
6/11/2019,84176
6/18/2019,88833
6/25/2019,77703
7/2/2019,86879
7/9/2019,86826
7/16/2019,88757
7/23/2019,78492
7/30/2019,78711
8/6/2019,67264
8/13/2019,73819
8/20/2019,66877
8/27/2019,72592
9/3/2019,78831
9/10/2019,85100
9/17/2019,78482
9/24/2019,67248
10/1/2019,63371
10/8/2019,61520
10/15/2019,74171
10/22/2019,78223
10/29/2019,84076
11/5/2019,92583
11/12/2019,93259
11/19/2019,93995
11/26/2019,99483
12/3/2019,88706
12/10/2019,91118
12/17/2019,95300
12/24/2019,93638
12/31/2019,95886
1/7/2020,98263
1/14/2020,97232
1/21/2020,102683
1/28/2020,97347
2/4/2020,92616
2/11/2020,105232
2/18/2020,97899
2/25/2020,75412
3/3/2020,82368
3/10/2020,88067
3/17/2020,80491
3/24/2020,71229
3/31/2020,89838
4/7/2020,90294
4/14/2020,105318
4/21/2020,94421
4/28/2020,103132
5/5/2020,103256
5/12/2020,104721
5/19/2020,108373
5/26/2020,119725
6/2/2020,126505
6/9/2020,129179
6/16/2020,128691
6/23/2020,102448
6/30/2020,100943
7/7/2020,99656
7/14/2020,104395
7/21/2020,104915
7/28/2020,94506
8/4/2020,107626
8/11/2020,108063
8/18/2020,105636
8/25/2020,109481
9/1/2020,109687
9/8/2020,91183
9/15/2020,87713
